"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Primacy Type","Owner Type","Primary Source","Activity Status","Deactivation Date","Season Begin Date","Season End Date","Is Wholesaler","Pop Cat 5","Pop Cat 11","Population Served Count","Is Outstanding Performer","Outstanding Performer Date","Is Source Water Protected","Source Water Protection Date","Service Connections Count","Seasonal Startup System","Org Name","Admin Name","Email Address","Phone Number","Phone Ext Number","Fax Number","Alt Phone Number","Address Line1","Address Line2","City Name","State Code","Zip Code","Country Code","First Reported Date","Last Reported Date"
"CA2701687","VALLEY OAKS MHP WS","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","101-500","120","-","-","-","-","46","-","HEINSEN, MILTON","HEINSEN, MILTON","heinsenc@hotmail.com","831-385-4851","-","-","-","PO BOX 306","-","LOCKWOOD","CA","93932","US","28-JUN-1980","29-MAR-2019"
"CA0707597","SANDY POINT MOBILE HOME PARK","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","94","-","-","-","-","24","-","PRICE, JIM","PRICE, JIM","-","-","-","-","-","PO BOX 1417","-","BRENTWOOD","CA","94513","US","22-MAR-1979","29-MAR-2019"
"CA0707519","DUTCH SLOUGH WATER WORKS","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","49","-","-","-","-","18","-","PRICE, JIM","PRICE, JIM","-","-","-","-","-","PO BOX 1417","-","BRENTWOOD","CA","94513","US","22-MAR-1979","29-MAR-2019"
"CA0707585","MORAGA HEIGHTS MUTUAL WATER","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","60","-","-","-","-","22","-","RANE, KAYCE","RANE, KAYCE","-","925-876-0760","-","-","-","PO BOX 64","-","CANYON","CA","94516","US","22-MAR-1979","29-MAR-2019"
"CA1910140","RUBIO CANON LAND & WATER ASSOCIATION","Region 9","California","Community water system","State","Private","Surface water","Active","-","-","-","N","3,301-10,000","3,301-10,000","9,600","-","-","-","-","3129","-","DE LA PAZ, ARMANDO","DE LA PAZ, ARMANDO","armando@rclwa.org","626-797-0509","-","626-797-0520","-","583 E. SACRAMENTO ST.","-","ALTADENA","CA","91001","US","22-MAR-1979","29-MAR-2019"
"CA1910194","ROWLAND WATER DISTRICT","Region 9","California","Community water system","State","Local government","Surface water purchased","Active","-","-","-","N","10,001-100,000","50,001-100,000","55,038","-","-","-","-","13187","-","COLEMAN, TOM","COLEMAN, TOM","TCOLEMAN@ROWLANDWATER.COM","562-697-1726","-","562-697-6149","-","3021 SOUTH FULLERTON ROAD","-","ROWLAND HEIGHTS","CA","91748","US","22-MAR-1979","29-MAR-2019"
"CA2810002","CALISTOGA, CITY OF","Region 9","California","Community water system","State","Local government","Surface water","Active","-","-","-","N","3,301-10,000","3,301-10,000","5,334","-","-","-","-","1483","-","KIRN, MIKE","KIRN, MIKE","mkirn@ci.calistoga.ca.us","707-942-2828","-","707-942-9472","-","1232 Washington Street","-","CALISTOGA","CA","94515","US","02-DEC-1981","29-MAR-2019"
"CA4600018","SIERRAVILLE P.U.D.","Region 9","California","Community water system","State","Local government","Ground water","Active","-","-","-","N","<=500","101-500","200","-","-","-","-","111","-","WRIGHT, LEE","WRIGHT, LEE","landswright@digitalpath.net","-","-","-","-","P.O. Box 325","-","SIERRAVILLE","CA","96126","US","22-MAR-1979","29-MAR-2019"
"CA1010007","CITY OF FRESNO","Region 9","California","Community water system","State","Local government","Surface water","Active","-","-","-","N",">100,000","500,001-1,000,000","533,366","-","-","-","-","132981","-","TICKEL, BUD","TICKEL, BUD","BUD.TICKEL@FRESNO.GOV","559-621-5314","-","559-488-1024","-","1910 EAST UNIVERSITY AVE.","-","FRESNO","CA","93703","US","22-MAR-1979","29-MAR-2019"
"CA4300792","ABORN HEIGHTS WATER MUTUAL ASSOCIATION","Region 9","California","Community water system","State","Private","Ground water","Active","-","-","-","N","<=500","<=100","45","-","-","-","-","17","-","RYAN, TOM","RYAN, TOM","tnkryan@yahoo.com","408-274-7811","-","-","-","4446 LAZY LANE","-","SAN JOSE","CA","95135","US","30-NOV-1981","29-MAR-2019"
